,Rank,Team,Confederation,Form,Rating,Change
65,66,North Macedonia,UEFA,LLDDW,1589,-3
66,67,Mali,CAF,LDDDD,1588,-8
67,68,Cape Verde,CAF,DLDDW,1578,+2
68,69,Honduras,CONCACAF,DLWDW,1570,-1
69,70,Saudi Arabia,AFC,DLWLW,1569,+3
70,71,Iceland,UEFA,DDLWD,1569,+7
71,72,New Zealand,OFC,WLLWW,1562,-1
72,73,Haiti,CONCACAF,DLWWL,1548,-6
73,74,United Arab Emirates,AFC,DLDWD,1540,
74,75,Angola,CAF,DDLDD,1537,-6
75,76,Finland,UEFA,DWLLW,1536,-4
76,77,South Africa,CAF,LWLWW,1528,+10
77,78,Burkina Faso,CAF,LWLWW,1526,-4
78,79,Belarus,UEFA,DDLLL,1525,+12
79,80,Jamaica,CONCACAF,LWLWD,1517,-10
80,81,Ghana,CAF,WWWDW,1510,+7
81,82,Guatemala,CONCACAF,WLWDD,1504,-3
82,83,Oman,AFC,WLWDL,1479,+20
83,84,Syria,AFC,WLDDW,1479,-12
84,85,Palestine,AFC,LDDWD,1467,-2
85,86,Guinea,CAF,DWDWL,1463,-6
86,87,Montenegro,UEFA,LWLLL,1460,+7
87,88,Bulgaria,UEFA,WWWLL,1458,-3
88,89,Northern Cyprus,Other,—————,1457,
89,90,Luxembourg,UEFA,WWLLL,1450,+17
90,91,Curaçao,CONCACAF,LLDWD,1434,+1
91,92,Kazakhstan,UEFA,WWDDW,1431,+1
92,93,Suriname,CONMEBOL,LLWDD,1431,-9
93,94,Benin,CAF,LLWLL,1428,-1
94,95,China,AFC,LWWLL,1428,+5
95,96,Kurdistan,Other,—————,1425,
96,97,Qatar,AFC,LDLWD,1421,-2
97,98,Libya,CAF,DDDWW,1420,-5
98,99,Gambia,CAF,WLWWL,1419,-5
99,100,Bahrain,AFC,WLLWL,1414,-4
100,101,Gabon,CAF,DLLLL,1401,-4
101,102,Niger,CAF,WWWLL,1394,+1
102,103,Uganda,CAF,LDLLW,1394,
103,104,Equatorial Guinea,CAF,LLLDL,1391,+8
104,105,Trinidad and Tobago,CONCACAF,DLDDD,1388,-15
105,106,Madagascar,CAF,LWWWL,1380,-2
106,107,Armenia,UEFA,LLLLW,1378,-1
107,108,North Korea,AFC,LDLL—,1375,
108,109,Zimbabwe,CAF,WLWLD,1372,+30
109,110,Thailand,AFC,WWWWL,1372,-4
110,111,Zambia,CAF,LDDLW,1371,
111,112,Faroe Islands,UEFA,LLWWW,1368,-13
112,113,Kenya,CAF,WDLWW,1363,+11
113,114,Comoros,CAF,LDDDL,1363,-12
114,115,Indonesia,AFC,WLWLL,1362,+11
115,116,Togo,CAF,DLWLL,1356,-3
116,117,Sierra Leone,CAF,DWLWD,1354,+6
117,118,Estonia,UEFA,WLDLD,1352,+13
118,119,Mozambique,CAF,LLLWL,1352,-20
119,120,Vietnam,AFC,WWWWL,1351,+22
120,121,Sudan,CAF,LLWLL,1350,
121,122,Reunion,CAF,—————,1345,
122,123,El Salvador,CONCACAF,WDLLL,1342,+2
123,124,Guadeloupe,CONCACAF,LLLWW,1338,
124,125,Rwanda,CAF,WWLLW,1337,+28
125,126,Nicaragua,CONCACAF,LWLLL,1333,-1
126,127,Kuwait,AFC,LLDWL,1331,+4
127,128,Zanzibar,CAF,—————,1321,
128,129,Azerbaijan,UEFA,DWLLL,1321,-19
129,130,Mauritania,CAF,LLDDW,1317,+6
130,131,Cyprus,UEFA,LWDDL,1314,+4
131,132,Tanzania,CAF,WLLDD,1313,-27
132,133,Martinique,CONCACAF,LDDLL,1312,-19
133,134,Latvia,UEFA,DWWLL,1305,+4
134,135,Namibia,CAF,DLLLW,1303,-8
135,136,Kyrgyzstan,AFC,LLDDD,1293,+2
136,137,Malaysia,AFC,LWWWW,1293,-20
137,138,Guyana,CONCACAF,WWWWW,1292,+17
138,139,Liberia,CAF,DWDLW,1291,-6
139,140,Ethiopia,CAF,WWLWL,1291,+6
140,141,Tajikistan,AFC,DWWWD,1290,+6
141,142,Lebanon,AFC,LLWWW,1288,-44
142,143,Lithuania,UEFA,DLLLL,1286,-4
143,144,New Caledonia,OFC,LLW——,1286,-8
144,145,Burundi,CAF,WWLLL,1285,+46
145,146,Dominican Republic,CONCACAF,DDDWD,1283,-1
146,147,Botswana,CAF,WLLLL,1267,-18
147,148,Moldova,UEFA,LLDLL,1265,+3
148,149,Malta,UEFA,LLLWL,1255,+19
149,150,Guinea-Bissau,CAF,LLWDL,1248,+4
150,151,Central African Republic,CAF,WLLLD,1241,+3
151,152,Cuba,CONCACAF,DDWWL,1239,+10
152,153,Malawi,CAF,LLDWD,1235,-6
153,154,French Guiana,CONCACAF,—————,1223,
154,155,Mayotte,CAF,—————,1216,
155,156,Turkmenistan,AFC,LWWLL,1209,-8
156,157,Congo,CAF,LLD——,1207,
157,158,Eritrea,CAF,WW———,1201,+62
158,159,Lesotho,CAF,WDWLL,1198,-11
159,160,Yemen,AFC,WDWWW,1195,+44
160,161,Tahiti,OFC,L————,1176,
161,162,Philippines,AFC,WDWWW,1169,+2
162,163,Eswatini,CAF,LLLDL,1149,-62
163,164,Saint Vincent and the Grenadines,CONCACAF,WLWLL,1141,-30
164,165,Puerto Rico,CONCACAF,WWWL—,1135,-3
165,166,Papua New Guinea,OFC,DWW——,1135,
166,167,Singapore,AFC,WWWDW,1134,-5
167,168,India,AFC,LLWLL,1122,-6
168,169,Hong Kong,AFC,LLDWW,1122,+2
169,170,Vanuatu,OFC,DWW——,1121,+7
170,171,Bermuda,CONCACAF,DLLLL,1117,-2
171,172,South Sudan,CAF,LWLDL,1109,-25
172,173,Fiji,OFC,DLLLL,1101,-7
173,174,Grenada,CONCACAF,LLWW—,1098,-21
174,175,Andorra,UEFA,LLDLL,1080,-1
175,176,Belize,CONCACAF,LLWWL,1073,-32
176,177,Mauritius,CAF,DDDLL,1073,-18
177,178,Chad,CAF,LLLLL,1073,-47
178,179,Solomon Islands,OFC,LLDLL,1054,-36
179,180,Saint Martin,CONCACAF,WWLWW,1042,+39
180,181,Sao Tome and Principe,CAF,LLWLL,1035,-21
181,182,Saint Kitts and Nevis,CONCACAF,WLLDL,1029,+24
182,183,Gibraltar,UEFA,LLLLL,1011,+5
183,184,Somaliland,Other,—————,1005,
184,185,Saint Lucia,CONCACAF,LLLWL,1003,-5
185,186,Western Sahara,Other,—————,996,
186,187,Myanmar,AFC,WWWLL,993,+11
187,188,Afghanistan,AFC,LWLLD,990,-33
188,189,Somalia,CAF,DDDLL,979,+18
189,190,Aruba,CONCACAF,WWWDL,978,-1
190,191,Sint Maarten,CONCACAF,DWWD—,975,+19
191,192,Montserrat,CONCACAF,LW———,971,
192,193,Greenland,CONCACAF,—————,946,
193,194,Bangladesh,AFC,LWDLL,942,+10
194,195,Djibouti,CAF,WLLLL,940,+25
195,196,Dominica,CONCACAF,DLLLL,934,-4
196,197,Monaco,UEFA,—————,903,
197,198,Barbados,CONCACAF,LLLWL,898,-23
198,199,Liechtenstein,UEFA,LWLLL,895,-4
199,200,Antigua and Barbuda,CONCACAF,LDLL—,894,
200,201,Nepal,AFC,LLLLL,893,-26
201,202,Pakistan,AFC,WWLLD,880,+33
202,203,Seychelles,CAF,LDLLL,853,+11
203,204,Cambodia,AFC,—————,849,+5
204,205,Sri Lanka,AFC,WLLWD,827,+45
205,206,San Marino,UEFA,LLLLL,826,-10
206,207,Taiwan,AFC,LLLLL,821,-45
207,208,Bonaire,CONCACAF,LWLL—,816,-20
208,209,Maldives,AFC,LLWLL,801,-35
209,210,Cayman Islands,CONCACAF,WDWLL,800,-5
210,211,Chagos Islands,Other,—————,782,
211,212,Tuvalu,OFC,—————,756,
212,213,British Virgin Islands,CONCACAF,WDWWL,743,+20
213,214,Sint Eustatius,CONCACAF,—————,737,
214,215,Laos,AFC,WLLLW,734,+26
215,216,Samoa,OFC,—————,728,
216,217,Mongolia,AFC,—————,725,-2
217,218,Saint Barthelemy,CONCACAF,—————,725,
218,219,East Timor,AFC,WLLLL,714,+41
219,220,Guam,AFC,LLWL—,705,-11
220,221,Wallis and Futuna,OFC,—————,699,
221,222,Vatican,UEFA,—————,692,
222,223,Saba,CONCACAF,—————,691,
223,224,Bahamas,CONCACAF,LLLLL,685,-34
224,225,Saint Pierre and Miquelon,CONCACAF,—————,677,
225,226,Turks and Caicos Islands,CONCACAF,WD———,657,
226,227,Anguilla,CONCACAF,LWLWL,646,+1
227,228,Bhutan,AFC,WLLLL,631,-5
228,229,Tibet,Other,—————,629,
229,230,US Virgin Islands,CONCACAF,LWWD—,628,+10
230,231,Cook Islands,OFC,—————,622,
231,232,Brunei,AFC,LLLLL,592,-41
232,233,Macao,AFC,LL———,588,-7
233,234,Christmas Island,Other,—————,578,
234,235,Falkland Islands,Other,—————,571,
235,236,FS Micronesia,OFC,—————,563,
236,237,Marshall Islands,OFC,LL———,559,
237,238,Kiribati,OFC,—————,544,
238,239,Tonga,OFC,—————,520,
239,240,Niue,OFC,—————,496,
240,241,Northern Mariana Islands,AFC,—————,432,
241,242,Cocos Islands,Other,—————,422,
242,243,Palau,OFC,—————,402,
243,244,Eastern Samoa,OFC,LL———,369,-19
